"中文名","英文名","DS5","DSE","DS5自适应扳机","DSE自适应扳机","DS5触觉反馈","DSE触觉反馈","DS5触摸板","DSE触摸板","分组","备注"
"漫威 vs. 卡普空格斗合集：街机经典","Marvel vs. Capcom Fighting Collection: Arcade Classics","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"漫威蜘蛛侠 2","Marvel's Spider-Man 2","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持"
"漫威蜘蛛侠 重制版","Marvel's Spider-Man Remastered","本地支持","本地支持","本地支持","本地支持","限制支持","限制支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 限制支持，DSE 限制支持"
"漫威蜘蛛侠：迈尔斯·莫拉莱斯","Marvel's Spider-Man: Miles Morales","本地支持","本地支持","本地支持","本地支持","限制支持","限制支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 限制支持，DSE 限制支持"
"机甲突破","Mecha Break","本地支持","本地支持","本地支持","本地支持","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持"
"洛克人星际力量遗产系列","Mega Man Star Force Legacy Collection","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"洛克人 X 传奇合集","Mega Man X Legacy Collection","需手动修复","需手动修复","未列入","未列入","未列入","未列入","未列入","未列入","需要手动修复/改动",""
"洛克人 X 传奇合集 2","Mega Man X Legacy Collection 2","需手动修复","需手动修复","未列入","未列入","未列入","未列入","未列入","未列入","需要手动修复/改动",""
"洛克人 X8","Mega Man X8","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"百万吨级武藏：有线","Megaton Musashi: Wired","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"合金装备 & 合金装备 2：Solid Snake 大师合集版","Metal Gear & Metal Gear 2: Solid Snake - Master Collection Version","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"合金装备（NES）& 合金装备 2：Snake's Revenge（NES）大师合集版","Metal Gear (NES) & Metal Gear 2: Snake's Revenge (NES) - Master Collection Version","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"合金装备 Solid 大师合集版","Metal Gear Solid - Master Collection Version","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"合金装备 Solid 2：自由之子 大师合集版","Metal Gear Solid 2: Sons of Liberty - Master Collection Version","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"合金装备 Solid 3：食蛇者 大师合集版","Metal Gear Solid 3: Snake Eater - Master Collection Version","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"合金装备 Δ：食蛇者","Metal Gear Solid Δ: Snake Eater","本地支持","未列入","未列入","未列入","限制支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","触觉反馈：DS5 限制支持，DSE 未列入"
"合金弹头攻击重装上阵","Metal Slug Attack Reloaded","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"合金弹头战术","Metal Slug Tactics","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"暗喻幻想：ReFantazio","Metaphor: ReFantazio","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"地铁：离去 增强版","Metro Exodus Enhanced Edition","本地支持","未列入","本地支持","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入；触觉反馈：DS5 本地支持，DSE 未列入"
"妙见基因","Mewgenics","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"空心者米娜","Mina the Hollower","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"心灵感应磁铁","Mind Over Magnet","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"心灵之眼","MindsEye","本地支持","未列入","本地支持","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入；触觉反馈：DS5 本地支持，DSE 未列入"
"MIO：轨道上的记忆","MIO: Memories in Orbit","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Mixtape","Mixtape","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"怪物猎人物语","Monster Hunter Stories","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"怪物猎人物语 3：命运双龙","Monster Hunter Stories 3: Twisted Reflection","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"怪物猎人：荒野","Monster Hunter Wilds","限制支持","限制支持","本地支持","本地支持","本地支持","本地支持","未列入","未列入","限制支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持"
"纪念碑谷 2：全景版","Monument Valley 2: Panoramic Edition","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"纪念碑谷3","Monument Valley 3","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"纪念碑谷：全景版","Monument Valley: Panoramic Edition","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"姆明滚动：冬日的温暖","Moomintroll: Winter's Warmth","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"病态金属","Morbid Metal","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"母亲：安可","MOTHER: Encore","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"鼠标：P.I.出租","Mouse: P.I. For Hire","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"我的英雄学院：All's Justice","My Hero Academia: All's Justice","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"纳斯卡 25","NASCAR 25","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"NASCAR Racing 2003 Season","NASCAR Racing 2003 Season","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"Necesse","Necesse","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"极品飞车：不羁","Need for Speed Unbound","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"海王星骑士 VS 杜古斯","Neptunia Riders VS Dogoos","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"幽冥盟约","Netherworld Covenant","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"涅瓦河","Neva","本地支持","未列入","本地支持","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入"
"永不坟墓：女巫与诅咒","Never Grave: The Witch and The Curse","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"从永远到永远","Neverness to Everness","本地支持","未列入","本地支持","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入；触觉反馈：DS5 本地支持，DSE 未列入"
"新世界","New World","未列入","未列入","未列入","未列入","未列入","未列入","需手动修复","未列入","触摸板页面补充（第三方/Steam）","触摸板：DS5 触摸板 需手动修复，第三方工具/自定义配置，Custom config. Requires reWASD application to run. Map navigation."
"尼克频道全明星乱斗 2","Nickelodeon All-Star Brawl 2","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"尼格特故事","Nigate Tale","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"夜跑者序幕","Night-Runners Prologue","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Nikoderiko：魔法世界","Nikoderiko: The Magical World","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"九日","Nine Sols","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"忍者龙剑传 2 黑之章","Ninja Gaiden 2 Black","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"忍者龙剑传 4","Ninja Gaiden 4","本地支持","本地支持","未列入","未列入","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","触觉反馈：DS5 本地支持，DSE 本地支持"
"仁王 3","Nioh 3","本地支持","未列入","本地支持","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入；触觉反馈：DS5 本地支持，DSE 未列入"
"仁王 完全版","Nioh: Complete Edition","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"没有法律","No Law","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"无人深空","No Man's Sky","本地支持","本地支持","本地支持","本地支持","限制支持","限制支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 限制支持，DSE 限制支持"
"英雄不再","No More Heroes","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"英雄不再 2：垂死挣扎","No More Heroes 2: Desperate Struggle","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"不再下雪了","No More Snow","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"恶人不得安息","No Rest for the Wicked","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"为了要约会不睡觉","No Sleep For Kaname Date","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"不，我不是人类","No, I'm Not a Human","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"夜间2","Nocturnal 2","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"NODE：安塔里人的最后恩惠","NODE: The Last Favor of the Antarii","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"诺伊塔","Noita","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"无处可去，密歇根州","Nowhere, MI","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"对象无常","Object Impermanence","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"八方旅人 0","Octopath Traveler 0","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"关闭（2025）","OFF (2025)","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"大神 绝景版","Okami HD","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"OlliOlli2：欢迎来到 Olliwood","OlliOlli2: Welcome to Olliwood","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"片魂从前","Once Upon a Katamari","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"独眼利科","One-Eyed Likho","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"OneShot：世界机器版","Oneshot: World Machine Edition","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"Onirism","Onirism","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"作品：棱镜峰","Opus: Prism Peak","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"其他皮肤","Otherskin","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"看不见的地方","Out of Sight","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"出境","Outbound","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"外向2","Outward 2","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"守望先锋 2","Overwatch 2","本地支持","本地支持","本地支持","本地支持","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持"
"超自然车旅","Pacific Drive","本地支持","未列入","本地支持","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入；触觉反馈：DS5 本地支持，DSE 未列入"
"吃豆人博物馆+","Pac-Man Museum Plus","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"吃豆人世界 2 Re-Pac","Pac-Man World 2 Re-Pac","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"止痛药 (2025)","Painkiller (2025)","本地支持","未列入","本地支持","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入；触觉反馈：DS5 本地支持，DSE 未列入"
"寄生虫突变体","Parasite Mutant","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"包裹军团","Parcel Corps","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"猛兽派对","Party Animals","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"帕塔蓬 1 + 2 重播","Patapon 1 + 2 Replay","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"病理3","Pathologic 3","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"收获日 3","Payday 3","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"昔日的山峰","Peaks of Yore","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"佩妮的大突破","Penny's Big Breakaway","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"胡椒研磨机","Pepper Grinder","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"女神异闻录 3 携带版","Persona 3 Portable","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"女神异闻录 3 Reload","Persona 3 Reload","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"女神异闻录 5 皇家版","Persona 5 Royal","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"幻影勇者：失落的英雄","Phantom Brave: The Lost Hero","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"幻影破坏者：终极战场","Phantom Breaker: Battle Grounds Ultimate","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"恐惧症","Phasmophobia","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"松树：一个关于失落的故事","Pine: A Story of Loss","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"皮皮斯特雷罗和被诅咒的溜溜球","Pipistrello and the Cursed Yoyo","本地支持","未列入","本地支持","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入"
"瘟疫公司：进化","Plague Inc: Evolved","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"拉娜星球II","Planet of Lana II","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"植物大战僵尸：重新种植","Plants vs. Zombies: Replanted","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"水管工不打领带：最终版","Plumbers Don't Wear Ties: Definitive Edition","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"波比的游戏时间","Poppy Playtime","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"传送门","Portal","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"传送门 2","Portal 2","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"传送门 2：社区版","Portal 2: Community Edition","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"传送门：革命","Portal: Revolution","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"拥有者","Possessor(s)","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"PowerSlave 被挖掘出来","PowerSlave Exhumed","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"PowerWash 模拟器","PowerWash Simulator","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"语用","Pragmata","本地支持","本地支持","本地支持","本地支持","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持"
"前任","Predecessor","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"掠食（2017）","Prey (2017)","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"波斯王子：失落王冠","Prince of Persia: The Lost Crown","本地支持","本地支持","未列入","未列入","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","触觉反馈：DS5 本地支持，DSE 本地支持"
"彩色山脉计划","Project Colored Mountains","本地支持","未列入","未列入","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","触觉反馈：DS5 本地支持，DSE 未列入"
"赛车计划","Project Motor Racing","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"项目重燃","Project Reignition","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"影子玻璃计划","Project Shadowglass","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"鸣鸟计划","Project Songbird","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"心理死亡","Psycho Dead","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"脑航员 2","Psychonauts 2","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"毫不留情","Pulling No Punches","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"南瓜杰克","Pumpkin Jack","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"纯池专业版","Pure Pool Pro","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"噗哟噗哟发烧","Puyo Puyo Fever","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"地震增强版","Quake Enhanced","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"雷神之锤 II","Quake II","未列入","需手动修复","未列入","未列入","未列入","未列入","未列入","未列入","需要手动修复/改动","DSE 需手动修复；DS5 未列入"
"雷神之锤 II 增强版","Quake II Enhanced","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Quest Master","Quest Master","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Raccoo Venture","Raccoo Venture","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"RaceRoom 赛车体验","RaceRoom Racing Experience","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"Rage of the Dragons NEO","Rage of the Dragons NEO","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Raidou Remastered: The Mystery of the Soulless Army","Raidou Remastered: The Mystery of the Soulless Army","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Raji: Kaliyuga","Raji: Kaliyuga","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"瑞奇与叮当：时空跳转","Ratchet & Clank: Rift Apart","本地支持","本地支持","本地支持","本地支持","限制支持","限制支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 限制支持，DSE 限制支持"
"Ravenswatch","Ravenswatch","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"雷曼 2：胜利大逃亡","Rayman 2: The Great Escape","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"严阵以待","Ready or Not","本地支持","未列入","本地支持","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入"
"Realm of Ink","Realm of Ink","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Reanimal","Reanimal","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"Redacted","Redacted","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Relooted","Relooted","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Remember Me","Remember Me","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Replaced","Replaced","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"生化危机","Resident Evil","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"生化危机 2","Resident Evil 2","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"生化危机 3：复仇女神","Resident Evil 3: Nemesis","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"生化危机 4（2023）","Resident Evil 4 (2023)","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"生化危机：安魂曲","Resident Evil Requiem","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持"
"Retro City Rampage","Retro City Rampage","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"死亡回归","Returnal","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持"
"狂野星球复仇记","Revenge of the Savage Planet","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"Reynatis","Reynatis","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Rhythm Doctor","Rhythm Doctor","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Riders Republic","Riders Republic","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"浪人崛起","Rise of the Ronin","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持"
"Rise of the Triad: Ludicrous Edition","Rise of the Triad: Ludicrous Edition","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"雨中冒险 2","Risk of Rain 2","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Rivals of Aether II","Rivals of Aether II","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
